place,LNG,LAT
sloterplas,52.368439,4.82276
Marineterrein,52.373323,4.915827
Het Twiske,52.449236,4.887567
"Admiralengracht, erasmus park",52.376215,4.854653
Berlagebrug Rowing Club,52.348145,4.91228
Gaasperplas,52.304816,4.993955
Amsterdamse Bos,52.321096,4.8295
Nieuwe Meer,52.331476,4.837772
Ouderkerkerplas,52.289529,4.929168
Beatrixpark,52.344848,4.878894
Westereinderplassen,52.245645,4.730329
Diemerpark,52.355179,4.986536
Somerlust Park,52.341738,4.915573
